category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-05-28 13:55:22+00:00,2,BLUE,41,1210,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:55:21,Driver,,9094
Flag,2023-05-28 14:00:57+00:00,2,BLUE,45,1210,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:00:56,Driver,,9094
Other,2023-05-28 14:03:04+00:00,,,47,1210,CAR 20 (MAG) TIME 1:18.920 DELETED - TRACK LIMITS AT TURN 10 LAP 45 16:02:27,,,9094
Flag,2023-05-28 14:06:16+00:00,81,BLUE,49,1210,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:06:15,Driver,,9094
Flag,2023-05-28 14:07:33+00:00,23,BLUE,50,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:07:32,Driver,,9094
Flag,2023-05-28 14:07:58+00:00,2,BLUE,51,1210,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:07:57,Driver,,9094
Flag,2023-05-28 14:08:09+00:00,24,BLUE,51,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:08:09,Driver,,9094
Flag,2023-05-28 14:08:20+00:00,11,BLUE,51,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:08:20,Driver,,9094
Flag,2023-05-28 14:09:03+00:00,11,BLUE,52,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:09:02,Driver,,9094
Flag,2023-05-28 14:09:16+00:00,11,BLUE,52,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:09:16,Driver,,9094
Flag,2023-05-28 14:09:29+00:00,11,BLUE,52,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:09:28,Driver,,9094
Flag,2023-05-28 14:09:51+00:00,27,BLUE,52,1210,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:09:51,Driver,,9094
Other,2023-05-28 14:10:21+00:00,,,52,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,9094
Flag,2023-05-28 14:10:21+00:00,23,BLUE,52,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:10:20,Driver,,9094
Flag,2023-05-28 14:10:37+00:00,24,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:10:36,Driver,,9094
Flag,2023-05-28 14:10:40+00:00,23,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:10:39,Driver,,9094
Flag,2023-05-28 14:10:42+00:00,11,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:10:41,Driver,,9094
Flag,2023-05-28 14:10:45+00:00,23,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:10:44,Driver,,9094
Other,2023-05-28 14:11:13+00:00,,,53,1210,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,9094
Flag,2023-05-28 14:11:15+00:00,23,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:11:14,Driver,,9094
Flag,2023-05-28 14:11:18+00:00,24,BLUE,53,1210,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:11:18,Driver,,9094
Other,2023-05-28 14:11:25+00:00,,,53,1210,CAR 23 (ALB) TIME 1:29.941 DELETED - TRACK LIMITS AT TURN 11 LAP 51 16:10:33,,,9094
Other,2023-05-28 14:11:34+00:00,,,53,1210,CAR 31 (OCO) TIME 1:26.990 DELETED - TRACK LIMITS AT TURN 10 LAP 52 16:10:33,,,9094
