date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-02 15:56:28.850000+00:00,23,28,1211,33.8,9096
2023-06-02 15:57:26.396000+00:00,27,28,1211,23.9,9096
2023-06-02 15:57:29.678000+00:00,21,30,1211,22.9,9096
2023-06-02 15:58:09.615000+00:00,81,27,1211,22.9,9096
2023-06-02 15:59:39.286000+00:00,11,28,1211,22.0,9096
2023-06-03 10:32:20.636000+00:00,21,2,1211,27.7,9097
2023-06-03 10:32:29.183000+00:00,22,2,1211,27.4,9097
2023-06-03 10:34:22.134000+00:00,55,3,1211,22.8,9097
2023-06-03 10:34:53.961000+00:00,16,3,1211,22.2,9097
2023-06-03 10:35:13.024000+00:00,2,4,1211,23.6,9097
2023-06-03 10:35:26.242000+00:00,23,4,1211,25.0,9097
2023-06-03 10:36:07.960000+00:00,31,4,1211,24.0,9097
2023-06-03 10:36:20.647000+00:00,10,4,1211,25.1,9097
2023-06-03 11:08:40.581000+00:00,16,6,1211,2048.8,9097
2023-06-03 11:08:51.503000+00:00,55,6,1211,2092.2,9097
2023-06-03 11:12:13.781000+00:00,31,6,1211,2189.8,9097
2023-06-03 11:12:18.156000+00:00,4,7,1211,573.1,9097
2023-06-03 11:13:11.858000+00:00,27,6,1211,2084.5,9097
2023-06-03 11:14:14.403000+00:00,10,6,1211,2298.9,9097
2023-06-03 11:14:24.966000+00:00,23,6,1211,2363.7,9097
2023-06-03 11:14:26.450000+00:00,21,7,1211,2553.6,9097
2023-06-03 11:15:20.777000+00:00,22,7,1211,2599.0,9097
2023-06-03 11:17:13.025000+00:00,20,9,1211,18.3,9097
2023-06-03 11:18:04.243000+00:00,27,9,1211,17.6,9097
2023-06-03 11:18:40.258000+00:00,55,12,1211,18.6,9097
2023-06-03 11:19:50.147000+00:00,1,8,1211,18.3,9097
2023-06-03 11:20:01.319000+00:00,16,10,1211,269.1,9097
2023-06-03 11:21:14.287000+00:00,4,12,1211,33.5,9097
2023-06-03 11:24:25.346000+00:00,55,14,1211,130.1,9097
2023-06-03 11:24:28.721000+00:00,21,12,1211,117.3,9097
2023-06-03 11:24:49.673000+00:00,23,12,1211,30.8,9097
